presentation_order,image_id,is_anchor,annotation_stratum,model_spread,known_mos,rater_score_overall,rater_score_sharpness,rater_score_color_fidelity
1,diqa_0277,True,anchor,0.07425624487132992,3.0181049480889204,,,
2,ood_0007,False,high_spread_diagnostic,0.3415890431232622,,,,
3,ood_0434,False,high_spread_diagnostic,0.3414459346312202,,,,
4,ood_0137,False,high_spread_diagnostic,0.37560191383058505,,,,
5,ood_0181,False,medium_spread_boundary,0.2662398345711796,,,,
6,ood_0254,False,medium_spread_boundary,0.2726930270820779,,,,
7,diqa_0116,True,anchor,0.050743490205661615,4.03407811934084,,,
8,ood_0498,False,high_spread_diagnostic,0.3413780084313195,,,,
9,ood_0399,False,medium_spread_boundary,0.2688466249281277,,,,
10,ood_0008,False,low_spread_sanity_check,0.11618863182415205,,,,
11,ood_0284,False,low_spread_sanity_check,0.021401996722555574,,,,
12,ood_0090,False,high_spread_diagnostic,0.341516992502825,,,,
13,ood_0034,False,medium_spread_boundary,0.2880321466134267,,,,
14,ood_0458,False,medium_spread_boundary,0.276823591391975,,,,
15,ood_0368,False,medium_spread_boundary,0.3071126832686875,,,,
16,ood_0403,False,high_spread_diagnostic,0.3451959097020869,,,,
17,ood_0119,False,low_spread_sanity_check,0.12383156812289232,,,,
18,ood_0161,False,low_spread_sanity_check,0.11202255843661785,,,,
19,diqa_0740,True,anchor,0.02698269549804142,1.0066428306992021,,,
20,ood_0188,False,low_spread_sanity_check,0.05958112886353688,,,,
21,ood_0370,False,high_spread_diagnostic,0.34203296411925777,,,,
22,diqa_0347,True,anchor,0.08839851500889358,2.013533415356749,,,
23,ood_0237,False,high_spread_diagnostic,0.34345575652862875,,,,
24,diqa_0667,True,anchor,0.031018608317742148,4.99497348026706,,,
25,ood_0317,False,high_spread_diagnostic,0.3597497016078591,,,,
26,ood_0124,False,medium_spread_boundary,0.2747317058330719,,,,
27,ood_0315,False,medium_spread_boundary,0.2701068695672275,,,,
28,ood_0486,False,medium_spread_boundary,0.2667033271475558,,,,
29,ood_0288,False,high_spread_diagnostic,0.3489212956642408,,,,
30,ood_0107,False,medium_spread_boundary,0.26601719208802993,,,,
